Transform
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
2
2
2
5
5
2
2
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
1
2
1
4
4
4
4
4
4
4
4
4
4
5
5
5
5
5
2
6
6
5
6
6
7
6
6
6
2
5
5
2
5
2
2
2
2
2
2
2
2
2
1
1
1
1
1
1
1
1
5
5
5
5
5
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
2
6
6
6
1
