"","name","TCODE","n=120_Plasso_NT","n=120_Slasso_NT","n=120_Plasso_ST","n=120_Slasso_ST","n=240_Plasso_NT","n=240_Slasso_NT","n=240_Plasso_ST","n=240_Slasso_ST","n=360_Plasso_NT","n=360_Slasso_NT","n=360_Plasso_ST","n=360_Slasso_ST"
"98","WPSID61","6","0","21","0","16","0","11","1","130","0","12","2","146"
"99","WPSID62","6","0","14","0","35","0","50","24","162","0","52","10","145"
"100","OILPRICEx","6","0","57","0","44","0","83","118","232","0","280","181","238"
"101","PPICMM","6","0","32","0","92","0","79","5","135","0","165","6","156"
"102","CPIAUCSL","6","0","0","0","42","0","1","0","148","0","0","0","174"
"103","CPIAPPSL","6","0","0","0","30","0","5","0","142","0","82","5","231"
"104","CPITRNSL","6","0","21","0","35","0","1","0","161","0","0","0","182"
"105","CPIMEDSL","6","0","3","0","56","0","0","0","201","0","41","0","187"
"106","CUSR0000SAC","6","0","0","0","1","0","0","0","50","0","0","0","81"
"107","CUSR0000SAD","6","0","44","0","61","0","33","0","217","0","38","0","254"
"108","CUSR0000SAS","6","0","0","0","75","0","1","0","257","0","0","4","308"
"109","CPIULFSL","6","0","0","0","6","0","2","0","115","0","0","0","89"
"110","CUSR0000SA0L2","6","0","0","0","11","0","0","0","77","0","0","0","137"
"111","CUSR0000SA0L5","6","0","0","0","1","0","0","0","74","0","0","0","98"
"112","PCEPI","6","0","10","0","71","0","1","0","65","0","0","0","44"
"113","DDURRG3M086SBEA","6","0","14","0","34","0","15","0","205","0","11","0","173"
"114","DNDGRG3M086SBEA","6","0","0","0","6","0","3","0","47","0","0","5","121"
"115","DSERRG3M086SBEA","6","0","0","0","23","0","0","0","134","0","0","0","129"
"116","CES0600000008","6","0","0","0","47","0","0","0","126","0","2","0","158"
"117","CES2000000008","6","0","0","0","39","0","1","0","137","0","5","5","201"
"118","CES3000000008","6","0","0","0","79","0","0","0","233","0","1","0","204"
"119","DTCOLNVHFNM","6","131","48","0","53","301","11","13","232","308","118","31","271"
"120","DTCTHFNM","6","144","0","0","80","342","37","25","230","360","127","12","217"
"121","INVEST","6","0","0","0","68","0","0","1","202","0","15","2","167"
